"기간","자치구","인구"
2002,"강남구",540813
2002,"송파구",649888
2002,"강동구",483004
2003,"종로구",181441
2003,"중구",138798
2003,"용산구",240723
2003,"성동구",343929
2003,"광진구",388659
2003,"동대문구",386814
2003,"중랑구",438011
2003,"성북구",456535
2003,"강북구",362094
2003,"도봉구",378166
2003,"노원구",633934
2003,"은평구",476843
2003,"서대문구",361754
2003,"마포구",383629
2003,"양천구",489257
2003,"강서구",539673
2003,"구로구",419438
2003,"금천구",267355
2003,"영등포구",410952
2003,"동작구",413204
2003,"관악구",526971
2003,"서초구",400220
2003,"강남구",536031
2003,"송파구",623267
2003,"강동구",479270
2004,"종로구",178574
2004,"중구",136585
2004,"용산구",239070
2004,"성동구",343992
2004,"광진구",384681
2004,"동대문구",383896
2004,"중랑구",436063
2004,"성북구",455041
2004,"강북구",362275
2004,"도봉구",383611
2004,"노원구",630555
2004,"은평구",480320
2004,"서대문구",358186
2004,"마포구",388111
2004,"양천구",497642
2004,"강서구",544762
2004,"구로구",424725
2004,"금천구",266047
2004,"영등포구",415889
2004,"동작구",414199
2004,"관악구",535688
2004,"서초구",406752
2004,"강남구",539333
2004,"송파구",608439
2004,"강동구",473411
2005,"종로구",173861
2005,"중구",134420
2005,"용산구",240077
2005,"성동구",342691
2005,"광진구",380480
2005,"동대문구",386280
2005,"중랑구",429922
2005,"성북구",467308
2005,"강북구",355334
2005,"도봉구",383448
2005,"노원구",624855
2005,"은평구",473456
2005,"서대문구",355934
2005,"마포구",393155
2005,"양천구",502788
2005,"강서구",557373
2005,"구로구",427119
2005,"금천구",263936
2005,"영등포구",421327
2005,"동작구",414668
2005,"관악구",537235
2005,"서초구",406875
2005,"강남구",547775
2005,"송파구",610023
2005,"강동구",466664
2006,"종로구",172690
2006,"중구",136348
2006,"용산구",243033
2006,"성동구",340895
2006,"광진구",381540
2006,"동대문구",385712
2006,"중랑구",429404
2006,"성북구",478511
2006,"강북구",351624
2006,"도봉구",379755
2006,"노원구",621676
2006,"은평구",467940
2006,"서대문구",356652
2006,"마포구",397049
2006,"양천구",505606
2006,"강서구",559845
2006,"구로구",436786
2006,"금천구",263989
2006,"영등포구",429816
